                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.83957,                0.68504,                 1.0597,                0.86891,                0.80894,                 0.8873,                0.70752,                0.70146,                0.54919,                0.97899,             0.00096215,             0.00096215,             0.00096215
                     36,                0.83322,                0.68851,                 1.0583,                0.87823,                0.81106,                0.88595,                 0.7033,                 0.7185,                0.54654,                 0.9775,               0.000948,               0.000948,               0.000948
                     37,                 0.8305,                0.68216,                 1.0617,                0.88562,                0.82314,                0.89592,                0.71658,                0.67449,                0.54408,                 0.9631,             0.00093385,             0.00093385,             0.00093385
                     38,                0.83251,                0.68482,                 1.0598,                0.87456,                0.81621,                0.89395,                0.70435,                0.70543,                0.54255,                0.97746,              0.0009197,              0.0009197,              0.0009197
                     39,                0.83536,                0.68475,                 1.0648,                0.87594,                0.82497,                0.89334,                0.70822,                 0.7055,                0.54598,                0.97468,             0.00090556,             0.00090556,             0.00090556
                     40,                0.82022,                0.66996,                 1.0526,                  0.903,                0.82025,                0.90426,                 0.7191,                0.70353,                0.51768,                 0.9754,             0.00089141,             0.00089141,             0.00089141
                     41,                0.82981,                0.68221,                 1.0642,                0.88861,                0.84012,                0.90306,                0.71173,                0.74704,                0.52758,                 0.9739,             0.00087726,             0.00087726,             0.00087726
                     42,                0.81218,                0.65548,                  1.051,                0.88819,                0.80398,                0.89481,                0.71335,                0.70073,                0.53293,                 0.9754,             0.00086312,             0.00086312,             0.00086312
                     43,                0.80677,                0.65579,                 1.0463,                0.91041,                0.81314,                0.90828,                0.72687,                0.69403,                0.49658,                 0.9713,             0.00084897,             0.00084897,             0.00084897
                     44,                0.80949,                0.65297,                 1.0502,                0.88419,                0.81963,                0.90462,                 0.7146,                 0.7116,                0.52461,                0.97018,             0.00083482,             0.00083482,             0.00083482
                     45,                0.80516,                0.64696,                 1.0474,                0.87198,                0.85834,                 0.9173,                0.73203,                0.68702,                0.49865,                0.96915,             0.00082067,             0.00082067,             0.00082067
                     46,                0.80912,                0.65095,                 1.0543,                0.85575,                0.86356,                0.90101,                0.71772,                0.67969,                0.51841,                0.96229,             0.00080653,             0.00080653,             0.00080653
                     47,                0.81139,                0.65182,                 1.0555,                0.86389,                0.83464,                0.90642,                0.71324,                0.72229,                0.50974,                0.97095,             0.00079238,             0.00079238,             0.00079238
                     48,                0.78845,                0.63696,                 1.0334,                 0.8776,                0.83048,                0.90136,                0.72288,                0.67973,                0.50076,                0.96359,             0.00077823,             0.00077823,             0.00077823
                     49,                0.78345,                0.62016,                 1.0347,                0.87194,                0.84796,                0.90081,                0.72929,                0.67916,                0.50161,                0.96896,             0.00076409,             0.00076409,             0.00076409
                     50,                0.77889,                0.61315,                  1.036,                 0.8864,                0.83511,                0.89644,                0.70982,                0.72296,                0.51867,                0.97778,             0.00074994,             0.00074994,             0.00074994
                     51,                0.78159,                0.61659,                 1.0391,                0.88389,                0.84694,                0.90607,                0.72489,                0.68501,                0.50809,                0.96593,             0.00073579,             0.00073579,             0.00073579
                     52,                0.76959,                0.62095,                 1.0269,                0.85182,                0.85018,                0.90514,                0.72166,                0.72412,                0.51391,                 0.9781,             0.00072164,             0.00072164,             0.00072164
                     53,                0.77069,                0.60865,                 1.0284,                0.88599,                0.83786,                0.89997,                 0.7197,                0.69759,                0.49233,                0.96749,              0.0007075,              0.0007075,              0.0007075
                     54,                0.76591,                0.60231,                  1.027,                0.87335,                0.84389,                0.90346,                0.72207,                0.69483,                 0.5063,                0.96557,             0.00069335,             0.00069335,             0.00069335
                     55,                0.75939,                0.60047,                 1.0206,                   0.89,                0.84286,                0.91712,                0.72351,                0.71422,                0.48175,                0.96991,              0.0006792,              0.0006792,              0.0006792
                     56,                0.75427,                0.59745,                 1.0274,                0.87224,                0.83905,                0.89883,                0.71529,                0.69312,                0.49803,                0.97775,             0.00066506,             0.00066506,             0.00066506
                     57,                 0.7569,                0.59063,                 1.0282,                0.89875,                0.82713,                0.91123,                0.72597,                0.68414,                0.48455,                 0.9607,             0.00065091,             0.00065091,             0.00065091
                     58,                0.75654,                0.58813,                 1.0205,                0.86947,                0.83302,                0.90142,                0.72211,                 0.6677,                0.49302,                0.96013,             0.00063676,             0.00063676,             0.00063676
                     59,                0.74245,                0.57611,                 1.0181,                0.88689,                0.84216,                0.90997,                0.73374,                0.65808,                0.47879,                 0.9568,             0.00062262,             0.00062262,             0.00062262
