                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3743,                 1.2561,                 1.4224,                0.73386,                0.65649,                0.72182,                0.41967,                 1.4521,                 1.1967,                 1.4596,              0.0011224,              0.0011224,              0.0011224
                     36,                 1.3819,                 1.2545,                 1.4239,                0.74191,                0.67079,                0.73182,                0.42568,                 1.4598,                 1.1825,                 1.4704,              0.0011059,              0.0011059,              0.0011059
                     37,                 1.3723,                 1.2511,                 1.4218,                0.74358,                0.66483,                0.73404,                0.43076,                 1.4532,                 1.1767,                 1.4605,              0.0010894,              0.0010894,              0.0010894
                     38,                 1.3703,                  1.242,                 1.4205,                 0.7398,                0.65972,                0.72469,                0.42296,                  1.448,                 1.2047,                 1.4598,              0.0010729,              0.0010729,              0.0010729
                     39,                 1.3751,                 1.2311,                 1.4144,                0.73222,                0.66862,                0.73103,                0.42957,                 1.4581,                 1.1907,                 1.4663,              0.0010564,              0.0010564,              0.0010564
                     40,                  1.365,                 1.2273,                 1.4117,                0.74918,                0.66027,                0.73145,                0.43151,                 1.4479,                 1.1636,                 1.4562,              0.0010399,              0.0010399,              0.0010399
                     41,                 1.3581,                 1.2187,                 1.4041,                0.73261,                0.67475,                0.73901,                0.43347,                 1.4524,                 1.1633,                 1.4497,              0.0010234,              0.0010234,              0.0010234
                     42,                 1.3541,                 1.2194,                  1.409,                0.74824,                0.66468,                0.73867,                0.43628,                 1.4451,                 1.1712,                 1.4533,              0.0010069,              0.0010069,              0.0010069
                     43,                 1.3508,                 1.2063,                 1.4009,                0.74256,                0.67464,                0.74029,                0.43591,                 1.4402,                 1.1551,                 1.4451,             0.00099036,             0.00099036,             0.00099036
                     44,                 1.3482,                 1.1943,                 1.3991,                0.75862,                 0.6668,                0.74345,                0.43596,                 1.4545,                  1.156,                 1.4524,             0.00097386,             0.00097386,             0.00097386
                     45,                 1.3397,                 1.1861,                 1.3888,                0.75671,                0.67063,                0.74419,                0.43683,                 1.4484,                 1.1412,                 1.4521,             0.00095736,             0.00095736,             0.00095736
                     46,                 1.3369,                 1.1764,                  1.388,                0.73175,                0.68361,                0.74115,                0.43903,                  1.441,                 1.1544,                 1.4421,             0.00094085,             0.00094085,             0.00094085
                     47,                 1.3339,                 1.1733,                 1.3866,                0.74997,                0.68823,                0.75339,                0.44813,                 1.4264,                 1.1242,                  1.435,             0.00092435,             0.00092435,             0.00092435
                     48,                 1.3299,                 1.1705,                 1.3823,                0.77494,                0.65314,                 0.7414,                0.43887,                 1.4441,                 1.1479,                 1.4523,             0.00090785,             0.00090785,             0.00090785
                     49,                 1.3328,                 1.1635,                  1.388,                0.75672,                0.67154,                0.74682,                0.44511,                 1.4334,                 1.1413,                 1.4437,             0.00089134,             0.00089134,             0.00089134
                     50,                 1.3265,                 1.1527,                 1.3787,                0.74953,                0.68342,                0.74673,                 0.4409,                  1.442,                 1.1369,                 1.4437,             0.00087484,             0.00087484,             0.00087484
                     51,                 1.3281,                 1.1573,                 1.3868,                0.76697,                0.67126,                0.74628,                0.43966,                 1.4549,                 1.1364,                 1.4596,             0.00085834,             0.00085834,             0.00085834
                     52,                 1.3253,                 1.1544,                 1.3853,                0.74541,                0.68427,                0.74408,                0.44099,                 1.4425,                 1.1463,                 1.4506,             0.00084184,             0.00084184,             0.00084184
                     53,                 1.3166,                 1.1389,                  1.375,                0.76278,                0.67836,                0.75086,                0.44613,                 1.4348,                 1.1366,                 1.4471,             0.00082533,             0.00082533,             0.00082533
                     54,                  1.313,                 1.1269,                 1.3711,                0.76617,                0.67162,                0.74915,                0.44611,                 1.4342,                 1.1354,                 1.4386,             0.00080883,             0.00080883,             0.00080883
                     55,                 1.3048,                 1.1211,                 1.3659,                 0.7731,                0.67482,                0.75547,                0.44655,                 1.4343,                 1.1182,                  1.439,             0.00079233,             0.00079233,             0.00079233
                     56,                  1.298,                 1.1105,                 1.3569,                0.74431,                0.69771,                 0.7525,                0.44691,                 1.4391,                 1.1274,                 1.4351,             0.00077582,             0.00077582,             0.00077582
                     57,                 1.3022,                 1.1107,                  1.359,                0.76297,                 0.6818,                 0.7514,                 0.4447,                 1.4446,                  1.121,                 1.4391,             0.00075932,             0.00075932,             0.00075932
                     58,                  1.294,                  1.092,                 1.3492,                0.78031,                0.67218,                 0.7524,                0.44505,                 1.4468,                 1.1345,                 1.4413,             0.00074282,             0.00074282,             0.00074282
                     59,                 1.2961,                 1.0965,                 1.3578,                0.76431,                0.69594,                0.75453,                0.44806,                 1.4423,                 1.1208,                 1.4419,             0.00072631,             0.00072631,             0.00072631
                     60,                 1.2885,                 1.1006,                 1.3514,                0.75303,                0.69852,                0.75688,                0.44897,                 1.4416,                 1.1172,                 1.4399,             0.00070981,             0.00070981,             0.00070981
                     61,                 1.2897,                 1.0895,                 1.3546,                0.76535,                 0.6809,                0.75136,                0.44418,                 1.4448,                 1.1157,                 1.4408,             0.00069331,             0.00069331,             0.00069331
                     62,                 1.2859,                 1.0826,                 1.3478,                0.77827,                 0.6853,                0.75751,                 0.4501,                 1.4385,                 1.1085,                 1.4381,              0.0006768,              0.0006768,              0.0006768
                     63,                   1.28,                 1.0795,                 1.3463,                0.75098,                0.69666,                0.75511,                0.45241,                 1.4426,                 1.1131,                  1.441,              0.0006603,              0.0006603,              0.0006603
                     64,                 1.2704,                 1.0675,                 1.3401,                0.77792,                0.68994,                0.75924,                0.45059,                 1.4401,                 1.1126,                 1.4367,              0.0006438,              0.0006438,              0.0006438
                     65,                 1.2744,                 1.0783,                 1.3432,                0.78097,                0.68399,                 0.7618,                0.45331,                 1.4407,                 1.1067,                 1.4354,             0.00062729,             0.00062729,             0.00062729
                     66,                 1.2665,                 1.0559,                  1.334,                 0.7748,                0.68386,                0.75598,                0.44934,                 1.4426,                 1.1204,                  1.437,             0.00061079,             0.00061079,             0.00061079
                     67,                 1.2675,                 1.0404,                 1.3296,                0.76641,                0.69223,                0.75057,                0.44482,                 1.4397,                 1.1391,                  1.435,             0.00059429,             0.00059429,             0.00059429
                     68,                 1.2583,                 1.0428,                 1.3335,                0.77169,                0.68363,                0.75142,                0.44623,                 1.4454,                 1.1261,                 1.4444,             0.00057778,             0.00057778,             0.00057778
