                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4562,                 1.3015,                 1.4006,                0.37194,                0.44598,                0.29021,                0.16666,                 1.4615,                 1.9931,                 1.4504,               0.006634,               0.006634,               0.006634
                     36,                 1.4686,                 1.2989,                 1.4023,                0.36914,                0.41946,                 0.2816,                0.16327,                 1.4555,                  2.101,                 1.4566,               0.006535,               0.006535,               0.006535
                     37,                 1.4449,                 1.2835,                 1.3917,                0.36193,                0.44905,                0.28953,                0.16788,                 1.4434,                 2.0443,                 1.4445,               0.006436,               0.006436,               0.006436
                     38,                 1.4499,                 1.2726,                 1.3921,                0.36471,                0.44286,                0.28468,                0.16314,                 1.4503,                 2.0225,                 1.4471,               0.006337,               0.006337,               0.006337
                     39,                 1.4486,                 1.2734,                  1.385,                0.38287,                0.44352,                0.29822,                0.17245,                 1.4576,                 1.9581,                 1.4501,               0.006238,               0.006238,               0.006238
                     40,                 1.4364,                 1.2611,                 1.3865,                0.36469,                0.44313,                0.28695,                0.16741,                 1.4282,                 1.9867,                 1.4427,               0.006139,               0.006139,               0.006139
                     41,                 1.4388,                 1.2645,                 1.3849,                0.37922,                0.45058,                0.30203,                0.17324,                 1.4369,                 1.9629,                 1.4367,                0.00604,                0.00604,                0.00604
                     42,                 1.4262,                 1.2459,                 1.3827,                  0.383,                0.44686,                0.30401,                0.17681,                 1.4282,                 1.9738,                 1.4365,               0.005941,               0.005941,               0.005941
                     43,                 1.4308,                 1.2441,                 1.3791,                0.36936,                0.45431,                0.29259,                0.16976,                  1.429,                 2.0113,                 1.4315,               0.005842,               0.005842,               0.005842
                     44,                  1.429,                 1.2445,                 1.3754,                0.37667,                 0.4462,                0.29931,                0.17646,                 1.4232,                 1.9885,                 1.4238,               0.005743,               0.005743,               0.005743
                     45,                 1.4263,                 1.2402,                 1.3744,                0.37012,                0.45957,                0.29002,                0.16498,                 1.4471,                 2.0289,                 1.4413,               0.005644,               0.005644,               0.005644
                     46,                 1.4098,                 1.2288,                 1.3692,                0.37626,                 0.4405,                0.29769,                 0.1731,                 1.4233,                 1.9827,                 1.4209,               0.005545,               0.005545,               0.005545
                     47,                 1.4173,                 1.2282,                 1.3709,                0.37501,                0.45233,                0.30239,                0.17476,                 1.4315,                 1.9799,                 1.4349,               0.005446,               0.005446,               0.005446
                     48,                 1.4086,                 1.2272,                 1.3694,                0.36388,                0.44576,                0.28937,                0.16965,                 1.4417,                 2.0352,                 1.4296,               0.005347,               0.005347,               0.005347
                     49,                 1.4009,                 1.2053,                 1.3609,                0.37677,                0.46833,                 0.3124,                0.18193,                 1.4217,                 1.9166,                 1.4237,               0.005248,               0.005248,               0.005248
                     50,                  1.411,                 1.2098,                  1.365,                0.37848,                0.47469,                0.31391,                0.18423,                 1.4134,                 1.9213,                 1.4147,               0.005149,               0.005149,               0.005149
                     51,                 1.4024,                 1.1979,                 1.3613,                0.37148,                0.45869,                0.30131,                0.17632,                 1.4119,                 1.9931,                 1.4161,                0.00505,                0.00505,                0.00505
                     52,                  1.402,                 1.1967,                 1.3518,                0.38052,                0.45387,                0.30237,                0.17699,                 1.4147,                 1.9723,                 1.4191,               0.004951,               0.004951,               0.004951
                     53,                 1.3934,                 1.1918,                 1.3524,                0.37802,                 0.4565,                 0.2993,                  0.172,                 1.4323,                 1.9749,                 1.4264,               0.004852,               0.004852,               0.004852
                     54,                 1.3955,                 1.1862,                 1.3485,                0.36465,                0.46048,                0.29963,                0.17533,                 1.4169,                 1.9738,                 1.4171,               0.004753,               0.004753,               0.004753
                     55,                 1.3925,                 1.1796,                  1.348,                0.37049,                0.45343,                0.29719,                0.17446,                 1.4287,                 1.9838,                 1.4264,               0.004654,               0.004654,               0.004654
                     56,                 1.3881,                 1.1782,                 1.3444,                0.36836,                0.45255,                0.29447,                0.17129,                 1.4343,                 2.0055,                 1.4329,               0.004555,               0.004555,               0.004555
                     57,                 1.3745,                 1.1705,                  1.341,                0.36781,                0.48528,                0.30493,                0.17856,                 1.4238,                 1.9546,                 1.4218,               0.004456,               0.004456,               0.004456
                     58,                 1.3805,                 1.1578,                 1.3439,                0.38581,                0.43875,                0.30172,                0.17756,                 1.4175,                 1.9744,                 1.4239,               0.004357,               0.004357,               0.004357
                     59,                 1.3632,                 1.1548,                 1.3416,                0.38164,                 0.4622,                0.30776,                0.17989,                 1.4062,                 1.9341,                 1.4085,               0.004258,               0.004258,               0.004258
                     60,                 1.3658,                 1.1501,                 1.3373,                0.39063,                0.44905,                0.30967,                0.18124,                 1.4222,                 1.9353,                  1.424,               0.004159,               0.004159,               0.004159
                     61,                 1.3761,                 1.1517,                 1.3417,                 0.3744,                0.46395,                 0.3049,                0.17851,                 1.4181,                 1.9563,                 1.4156,                0.00406,                0.00406,                0.00406
                     62,                 1.3629,                 1.1343,                 1.3299,                0.38114,                   0.45,                0.29585,                0.17151,                  1.426,                 2.0188,                 1.4271,               0.003961,               0.003961,               0.003961
